onset,duration,trial_type
0,2,cue
2,4,anticipation
6,2,win_outcome
12,2,cue
14,2,anticipation
16,2,win_outcome
20,2,cue
22,10,anticipation
32,2,win_outcome
44,2,cue
46,2,anticipation
48,2,win_outcome
54,2,cue
56,2,anticipation
58,2,lose_outcome
64,2,cue
66,12,anticipation
78,2,win_outcome
86,2,cue
88,4,anticipation
92,2,lose_outcome
96,2,cue
98,8,anticipation
106,2,lose_outcome
118,2,cue
120,2,anticipation
122,2,lose_outcome
128,2,cue
130,2,anticipation
132,2,win_outcome
136,2,cue
138,8,anticipation
146,2,win_outcome
150,2,cue
152,10,anticipation
162,2,lose_outcome
170,2,cue
172,2,anticipation
174,2,win_outcome
178,2,cue
180,2,anticipation
182,2,lose_outcome
186,2,cue
188,12,anticipation
200,2,lose_outcome
204,2,cue
206,4,anticipation
210,2,win_outcome
214,2,cue
216,6,anticipation
222,2,lose_outcome
226,2,cue
228,6,anticipation
234,2,win_outcome
242,2,cue
244,6,anticipation
250,2,lose_outcome
254,2,cue
256,2,anticipation
258,2,win_outcome
268,2,cue
270,2,anticipation
272,2,lose_outcome
280,2,cue
282,6,anticipation
288,2,win_outcome
302,2,cue
304,4,anticipation
308,2,lose_outcome
318,2,cue
320,2,anticipation
322,2,lose_outcome
